"6.09 - POPULAÇÃO RESIDENTE, SEGUNDO AS MIGRAÇÕES (RELATIVAMENTE A 31/12/2009), POR MUNICIPIO DE RESIDÊNCIA HABITUAL EM 21/03/2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona geográfica,População residente em 2011,,População que ainda não tinha nascido (em 31/12/2009),,População que mantém a mesma residência (relativamente a 31/12/2009),,População que mudou de residência (relativamente a 31/12/2009),,,,,,,,,,,,,,,,,,,,,
Municipios de residência habitual em 21/03/2011,,,,,,,Na mesma freguesia,,Noutra freguesia do mesmo municipio,,Noutro municipio,,No estrangeiro,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,,,,,,,,,,,,,,
            Viseu,99274,46915,1138,606,86297,40704,4797,2233,4237,2006,2005,925,800,441,,,,,,,,,,,,,,
            Vouzela,10564,5031,85,48,9663,4569,469,238,95,47,193,91,59,38,,,,,,,,,,,,,,
          Pinhal Interior Sul,40705,19321,262,134,37024,17564,1774,837,440,215,958,435,247,136,,,,,,,,,,,,,,
            Oleiros,5721,2721,30,14,5345,2554,121,56,39,12,141,64,45,21,,,,,,,,,,,,,,
            Proença-a-Nova,8314,3985,52,25,7642,3667,323,154,74,32,176,78,47,29,,,,,,,,,,,,,,
            Sertã,15880,7546,124,66,14338,6766,777,385,236,130,294,138,111,61,,,,,,,,,,,,,,
            Vila de Rei,3452,1582,18,10,3057,1416,178,74,15,4,170,70,14,8,,,,,,,,,,,,,,
            Mação,7338,3487,38,19,6642,3161,375,168,76,37,177,85,30,17,,,,,,,,,,,,,,
          Serra da Estrela,43737,20609,328,170,39423,18540,2090,988,771,381,772,331,353,199,,,,,,,,,,,,,,
            Fornos de Algodres,4989,2353,30,12,4532,2137,210,102,55,28,118,49,44,25,,,,,,,,,,,,,,
            Gouveia,14046,6500,91,47,12698,5861,570,264,294,148,228,87,165,93,,,,,,,,,,,,,,
            Seia,24702,11756,207,111,22193,10542,1310,622,422,205,426,195,144,81,,,,,,,,,,,,,,
          Beira Interior Norte,104417,49558,712,372,93845,44477,5139,2470,2120,969,1854,866,747,404,,,,,,,,,,,,,,
            Almeida,7242,3395,26,11,6542,3073,381,181,93,40,128,56,72,34,,,,,,,,,,,,,,
            Celorico da Beira,7693,3611,58,23,6961,3275,295,136,181,78,134,65,64,34,,,,,,,,,,,,,,
            Figueira de Castelo Rodrigo,6260,2996,51,28,5573,2663,326,165,114,44,130,57,66,39,,,,,,,,,,,,,,
            Guarda,42541,20319,348,178,37619,17931,2387,1151,1247,590,764,370,176,99,,,,,,,,,,,,,,
            Manteigas,3430,1622,18,11,3063,1438,202,96,67,33,58,31,22,13,,,,,,,,,,,,,,
            Meda,5202,2460,30,16,4715,2205,272,145,55,27,99,49,31,18,,,,,,,,,,,,,,
            Pinhel,9627,4584,53,31,8972,4277,335,148,69,31,156,72,42,25,,,,,,,,,,,,,,
            Sabugal,12544,5885,70,36,11336,5327,581,269,148,66,234,98,175,89,,,,,,,,,,,,,,
            Trancoso,9878,4686,58,38,9064,4288,360,179,146,60,151,68,99,53,,,,,,,,,,,,,,
          Beira Interior Sul,75028,35686,659,325,66241,31451,5124,2419,999,477,1564,770,441,244,,,,,,,,,,,,,,
            Castelo Branco,56109,26661,547,262,49066,23287,4195,1958,856,415,1120,553,325,186,,,,,,,,,,,,,,
            Idanha-a-Nova,9716,4621,63,33,8838,4191,501,241,65,29,201,101,48,26,,,,,,,,,,,,,,
            Penamacor,5682,2760,24,13,5197,2502,231,130,55,24,114,62,61,29,,,,,,,,,,,,,,
            Vila Velha de Ródão,3521,1644,25,17,3140,1471,197,90,23,9,129,54,7,3,,,,,,,,,,,,,,
          Cova da Beira,87869,42025,755,400,77288,36854,5411,2631,2342,1108,1477,698,596,334,,,,,,,,,,,,,,
            Belmonte,6859,3294,65,34,6078,2924,443,213,68,30,167,74,38,19,,,,,,,,,,,,,,
            Covilhã,51797,24725,455,238,45403,21602,3054,1477,1753,837,825,398,307,173,,,,,,,,,,,,,,
            Fundão,29213,14006,235,128,25807,12328,1914,941,521,241,485,226,251,142,,,,,,,,,,,,,,
          Oeste,362540,175117,3999,1984,314881,152096,21789,10471,8804,4131,10458,5034,2609,1401,,,,,,,,,,,,,,
            Alcobaça,56693,27457,510,248,50868,24669,2858,1351,1034,493,1074,510,349,186,,,,,,,,,,,,,,
            Bombarral,13193,6353,116,61,11570,5570,839,398,192,85,374,185,102,54,,,,,,,,,,,,,,
            Caldas da Rainha,51729,24505,549,267,43822,20781,3343,1546,1940,896,1717,826,358,189,,,,,,,,,,,,,,
            Nazaré,15158,7237,164,75,13335,6376,1109,532,131,51,299,133,120,70,,,,,,,,,,,,,,
            Óbidos,11772,5724,124,58,10341,5023,552,261,176,85,466,232,113,65,,,,,,,,,,,,,,
            Peniche,27753,13444,332,154,24032,11656,1808,865,814,400,539,255,228,114,,,,,,,,,,,,,,
            Alenquer,43267,21066,548,268,37329,18128,2538,1261,1155,554,1419,716,278,139,,,,,,,,,,,,,,
            Arruda dos Vinhos,13391,6571,195,105,11511,5646,680,340,121,48,785,379,99,53,,,,,,,,,,,,,,
            Cadaval,14228,6871,157,76,12484,6034,737,364,281,123,464,210,105,64,,,,,,,,,,,,,,
            Lourinhã,25735,12518,284,143,22231,10792,1684,846,501,242,810,377,225,118,,,,,,,,,,,,,,
            Sobral de Monte Agraço,10156,5003,130,73,8761,4287,526,264,205,106,494,248,40,25,,,,,,,,,,,,,,
            Torres Vedras,79465,38368,890,456,68597,33134,5115,2443,2254,1048,2017,963,592,324,,,,,,,,,,,,,,
          Médio Tejo,220661,105219,2123,1087,195616,93217,11124,5186,4853,2298,5532,2663,1413,768,,,,,,,,,,,,,,
