"6.34 - POPULAÇÃO RESIDENTE  EMPREGADA, SEGUNDO A SITUAÇÃO NA PROFISSÃO E SEXO, POR RAMOS DE ACTIVIDADE ECONÓMICA",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Zona Geográfica,Total,,Patrão/Empregador,,Trabalhador por conta própria ou isolado,,Trabalhador familiar não remunerado,,Trabalhador por conta de outrém,,Membro activo de cooperativa de produção,,Outra situação,,
,,,,,,,,,,,,,,,
Ramos de actividade económica,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,
      Actividades das sociedades gestoras de participações sociais,841,425,109,77,6,6,0,0,714,333,0,0,12,9,
"      Trusts, fundos e  entidades financeiras similares",521,272,53,44,20,16,0,0,440,206,0,0,8,6,
"      Outras actividades de serviços financeiros, excepto seguros e fundos de pensões",4049,2090,233,148,54,46,0,0,3743,1888,0,0,19,8,
      Seguros,20576,10559,2474,1658,1581,1127,5,2,16329,7655,2,1,185,116,
      Resseguros,24,9,3,2,0,0,0,0,21,7,0,0,0,0,
      Fundos de pensões e regimes profissionais complementares,67,18,1,0,1,1,0,0,64,17,0,0,1,0,
"      Actividades auxiliares de serviços financeiros, excepto seguros e fundos de pensões",1088,677,71,37,30,26,1,0,974,604,0,0,12,10,
      Actividades auxiliares de seguros e de fundos de pensões,7415,4304,1885,1425,1427,1062,0,0,3995,1751,0,0,108,66,
      Actividades de gestão de fundos,417,186,20,14,1,1,0,0,394,170,0,0,2,1,
      Compra e venda de bens imobiliários,3598,1959,1003,625,443,327,5,4,2058,959,0,0,89,44,
      Arrendamento de bens imobiliários,593,290,110,61,71,51,0,0,400,169,0,0,12,9,
      Actividades imobiliárias por conta de outrem,22158,10557,6730,4115,1973,1247,12,4,12946,4909,3,2,494,280,
      Actividades jurídicas e dos cartórios notariais,32930,12222,10926,5480,8583,3804,4,1,11792,2323,0,0,1625,614,
      Actividades de contabilidade e auditoria;  consultoria fiscal,58991,23714,12636,7525,5751,3442,6,1,39945,12448,1,1,652,297,
      Actividades das sedes sociais,12,5,0,0,0,0,0,0,11,5,0,0,1,0,
      Actividades de consultoria para os negócios e a gestão,2956,1295,407,232,184,116,1,0,2319,931,0,0,45,16,
"      Actividades de arquitectura, de engenharia e técnicas afins",32557,21615,6993,5259,4171,3112,4,3,20407,12721,0,0,982,520,
      Actividades de ensaios e análises técnicas,4818,2954,373,254,112,69,0,0,4259,2599,0,0,74,32,
      Investigação e desenvolvimento das ciências físicas e naturais,7840,3392,216,121,115,50,0,0,5348,2372,0,0,2161,849,
      Investigação e desenvolvimento das ciências sociais e humanas,91,28,13,5,8,4,0,0,45,9,0,0,25,10,
      Publicidade,13491,8216,2646,1905,1179,940,12,8,9414,5216,4,3,236,144,
      Estudos de mercado e sondagens de opinião,4823,1979,590,343,203,111,1,1,3877,1455,0,0,152,69,
      Actividades de design,9404,6453,1618,1164,1518,1043,1,1,6063,4123,1,1,203,121,
      Actividades fotográficas,3785,2322,903,627,1136,886,8,3,1685,778,1,0,52,28,
      Actividades de tradução e interpretação,1960,593,326,119,1051,324,0,0,535,130,0,0,48,20,
"      Outras actividades de consultoria, científicas, técnicas e similares, n.e.",2450,1198,361,199,154,105,1,1,1867,863,1,0,66,30,
