"3.19 - ALOJAMENTOS CLÁSSICOS PROPRIEDADE DOS OCUPANTES, OCUPADOS COMO RESIDÊNCIA HABITUAL, SEGUNDO O NÚMERO DE DIVISÕES, POR GRUPO SÓCIO-ECONÓMICO DO TITULAR DO ALOJAMENTO, EXISTÊNCIA DE ENCARGOS POR COMPRA E RESPECTIVOS ESCALÕES",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,"Alojamentos clássicos, segundo o número de divisões",,,,,,,,,,Famílias clássicas,Pessoas residentes,
Grupo sócio-económico do titular do alojamento e escalão de encargos,,Com 1,Com 2,Com 3,Com 4,Com 5,Com 6,Com 7,Com 8,Com 9,Com 10 ou mais ,,,
        800 euros ou mais,6056,0,4,46,436,1657,1688,1033,554,311,327,6074,20966,
      Dirigentes de pequenas empresas e organizações,10561,6,49,437,2368,3795,1842,1009,492,282,281,10631,31624,
        Sem encargos,3288,4,16,110,569,1128,629,370,203,122,137,3329,9795,
        Com encargos,7273,2,33,327,1799,2667,1213,639,289,160,144,7302,21829,
        Menos de 75 euros,103,0,1,8,26,43,12,7,2,3,1,103,274,
"        75  - 99,99 euros",83,0,2,4,21,27,9,8,4,1,7,84,241,
"        100 - 149,99 euros",198,0,0,6,53,61,45,22,3,3,5,200,588,
        150 - 199.99 euros,285,0,4,23,80,114,34,16,11,1,2,285,811,
"        200 - 249,99 euros",430,1,5,33,127,162,51,25,12,9,5,430,1174,
"        250 - 299,99 euros",690,0,4,56,215,263,87,41,13,6,5,690,1899,
"        300 - 349,99 euros",723,0,5,55,225,286,81,42,10,7,12,723,2034,
"        350 - 399,99 euros",768,0,3,44,258,264,101,52,23,13,10,772,2283,
"        400 - 499,99 euros",1340,1,2,51,379,519,204,95,41,25,23,1351,4026,
"        500 - 649,99 euros",1201,0,2,26,252,461,232,123,52,27,26,1205,3740,
"        650 - 799,99 euros",722,0,2,13,93,273,162,96,51,23,9,725,2335,
        800 euros ou mais,730,0,3,8,70,194,195,112,67,42,39,734,2424,
      Quadros intelectuais e científicos,206104,81,1067,11437,49495,70957,35071,18399,9598,5019,4980,206843,544414,
        Sem encargos,51553,29,233,2065,9493,16605,9934,5872,3335,1924,2063,51856,135636,
        Com encargos,154551,52,834,9372,40002,54352,25137,12527,6263,3095,2917,154987,408778,
        Menos de 75 euros,2233,3,17,154,597,765,376,166,88,38,29,2238,5721,
"        75  - 99,99 euros",1860,1,7,146,493,660,298,133,67,29,26,1863,4729,
"        100 - 149,99 euros",4869,8,50,356,1324,1688,729,358,181,110,65,4876,12425,
        150 - 199.99 euros,6659,10,77,688,1971,2246,815,438,210,99,105,6672,16125,
"        200 - 249,99 euros",9580,10,107,1073,3103,3163,1119,506,255,142,102,9601,22366,
"        250 - 299,99 euros",14708,6,145,1484,5055,4989,1613,723,397,156,140,14746,34237,
"        300 - 349,99 euros",15970,4,123,1387,5447,5638,1828,808,387,201,147,16014,38043,
"        350 - 399,99 euros",17787,6,77,1299,5751,6577,2278,955,419,209,216,17838,43802,
"        400 - 499,99 euros",28913,2,110,1565,8083,10981,4378,1979,966,448,401,29019,74831,
"        500 - 649,99 euros",25484,1,63,776,5143,9637,5124,2493,1149,537,561,25538,73052,
"        650 - 799,99 euros",13000,1,34,289,1894,4495,3071,1655,786,396,379,13052,39492,
        800 euros ou mais,13488,0,24,155,1141,3513,3508,2313,1358,730,746,13530,43955,
      Quadros técnicos intermédios,163917,64,889,8511,44606,60908,24962,12453,5874,2958,2692,164529,475334,
        Sem encargos,36659,31,205,1479,8300,13219,6268,3517,1796,954,890,36949,106735,
        Com encargos,127258,33,684,7032,36306,47689,18694,8936,4078,2004,1802,127580,368599,
        Menos de 75 euros,1887,0,16,128,569,678,267,110,62,35,22,1891,5133,
"        75  - 99,99 euros",1741,2,13,108,541,637,228,114,52,27,19,1747,4887,
"        100 - 149,99 euros",4405,4,41,302,1276,1663,599,266,144,62,48,4415,12570,
        150 - 199.99 euros,6462,5,75,541,2055,2343,742,392,166,78,65,6479,17848,
"        200 - 249,99 euros",9551,7,81,887,3365,3333,1033,453,204,99,89,9569,25622,
"        250 - 299,99 euros",14652,7,138,1289,5248,5209,1518,668,289,148,138,14680,39583,
"        300 - 349,99 euros",14402,1,90,1081,5161,5221,1474,697,364,167,146,14431,39396,
"        350 - 399,99 euros",15454,1,76,843,5123,5913,1969,804,360,202,163,15487,43731,
"        400 - 499,99 euros",23833,2,88,1085,7020,9495,3314,1521,678,310,320,23910,68747,
"        500 - 649,99 euros",18362,1,40,500,3783,7440,3500,1675,743,356,324,18414,56863,
"        650 - 799,99 euros",8841,2,17,178,1358,3412,1997,1010,459,218,190,8870,28285,
        800 euros ou mais,7668,1,9,90,807,2345,2053,1226,557,302,278,7687,25934,
      Quadros administrativos intermédios,24300,9,185,1762,7679,8585,3167,1472,727,379,335,24394,67297,
        Sem encargos,6235,5,43,270,1622,2192,1031,523,274,139,136,6282,16995,
        Com encargos,18065,4,142,1492,6057,6393,2136,949,453,240,199,18112,50302,
        Menos de 75 euros,284,0,1,23,105,98,27,17,7,4,2,285,741,
"        75  - 99,99 euros",277,1,3,21,98,90,38,12,7,6,1,277,719,
"        100 - 149,99 euros",680,0,7,78,221,243,71,37,12,4,7,681,1786,
        150 - 199.99 euros,1122,1,21,135,409,365,99,43,30,15,4,1125,3000,
"        200 - 249,99 euros",1682,1,23,203,623,552,139,71,39,16,15,1686,4419,
"        250 - 299,99 euros",2366,0,16,288,910,773,212,80,40,22,25,2368,6305,
"        300 - 349,99 euros",2386,1,20,234,909,828,212,97,42,26,17,2397,6442,
"        350 - 399,99 euros",2335,0,14,181,878,827,242,90,51,28,24,2339,6526,
"        400 - 499,99 euros",3216,0,24,191,1107,1191,410,157,69,35,32,3230,9046,
"        500 - 649,99 euros",2187,0,11,79,557,870,366,170,68,38,28,2188,6572,
"        650 - 799,99 euros",908,0,1,43,156,357,176,88,47,21,19,913,2778,
        800 euros ou mais,622,0,1,16,84,199,144,87,41,25,25,623,1968,
      Empregados administrativos do comércio e serviços,316593,372,3099,24236,103898,111594,38267,17929,8533,4508,4157,318650,897775,
        Sem encargos,88679,156,852,5622,24461,31381,13037,6672,3155,1746,1597,89653,245278,
