"6.40 - TRABALHADORES POR CONTA DE OUTRÉM, SEGUNDO O NÚMERO DE HORAS DE TRABALHO NA SEMANA DE REFERÊNCIA  E SEXO, POR RAMOS DE ACTIVIDADE ECONÓMICA",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Zona Geográfica,Total,,De 1 h a menos de 5 h,,De 5 h a menos de 15 h,,De 15 h a menos de 30 h,,De 30 h a menos de 35 h,,De 35 h a menos de 40 h,,De 40 h a menos de 45 h,, 45 h ou mais,
Ramos de actividade económica,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
          Fabricação de produtos farmacêuticos de base,3,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1
          Fabricação de preparações farmacêuticas,119,60,0,0,2,1,2,2,1,0,7,3,57,27,50,27
          Fabricação de artigos de borracha,38,34,0,0,1,1,0,0,0,0,4,4,32,28,1,1
          Fabricação de artigos de matérias plásticas,78,41,2,1,5,1,0,0,2,1,20,6,38,25,11,7
          Fabricação de vidro e artigos de vidro,109,79,1,0,2,2,1,1,0,0,1,1,87,60,17,15
          Fabricação de produtos cerâmicos refractários,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Fabricação de produtos cerâmicos para a construção,35,31,0,0,0,0,0,0,0,0,3,2,26,23,6,6
          Fabricação de outros  produtos de porcelana  e cerâmicos não refractários,51,33,1,0,1,0,1,0,0,0,3,2,41,30,4,1
"          Fabricação de cimento, cal e gesso",133,118,0,0,3,3,2,0,2,2,62,56,46,42,18,15
"          Fabricação de produtos de betão, gesso e  cimento",201,177,3,3,6,4,3,2,2,2,14,9,113,97,60,60
"          Serragem, corte e acabamento de rochas ornamentais e de outras pedras de construção",170,146,4,3,7,5,6,2,2,1,17,13,125,114,9,8
          Fabricação de produtos abrasivos e de outros produtos minerais não metálicos,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0
          Siderurgia e fabricação de ferro-ligas,16,12,0,0,0,0,0,0,0,0,1,0,10,7,5,5
"          Fabricação de tubos, condutas, perfis ocos e respectivos acessórios,  de aço",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Outras actividades da primeira transformação do aço,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Obtenção e primeira transformação de metais preciosos e de outros metais não ferrosos,32,28,0,0,0,0,0,0,0,0,0,0,29,25,3,3
          Fundição de metais ferrosos e não ferrosos,31,28,0,0,1,1,1,0,0,0,2,2,16,16,11,9
          Fabricação de elementos de construção em metal,770,705,0,0,31,27,8,5,11,6,59,47,563,524,98,96
"          Fabricação de reservatórios, recipientes, caldeiras e radiadores metálicos para aquecimento central",121,89,1,0,5,2,4,2,1,1,8,5,83,62,19,17
          Fabricação de geradores de vapor (excepto caldeiras para aquecimento central),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Fabricação de armas e munições,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Fabricação de produtos forjados, estampados e laminados; metalurgia dos pós",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Tratamento e revestimento de metais; actividades de mecânica geral,30,27,0,0,0,0,0,0,0,0,4,3,24,22,2,2
"          Fabricação de cutelaria, ferramentas e ferragens",16,12,0,0,5,4,0,0,0,0,0,0,10,7,1,1
          Fabricação de outros produtos metálicos,21,11,0,0,0,0,0,0,0,0,2,1,13,6,6,4
"          Fabricação de componentes  e de placas, electrónicos",43,37,1,1,1,1,0,0,0,0,2,2,35,29,4,4
          Fabricação de computadores e de equipamento periférico,3,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0
          Fabricação de aparelhos e equipamentos para comunicações,10,5,0,0,1,0,1,1,0,0,2,1,6,3,0,0
          Fabricação de receptores  de rádio e de televisão e bens de consumo similares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Fabricação de instrumentos e aparelhos de medida, verificação e navegação; relógios e material de relojoaria",11,8,0,0,0,0,0,0,0,0,4,2,7,6,0,0
"          Fabricação de equipamentos de radiação, electromedicina e electroterapêutico",4,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0
          Fabricação de instrumentos e de equipamentos  ópticos e fotográficos,3,2,0,0,0,0,0,0,0,0,0,0,3,2,0,0
          Fabricação de suportes de informação magnéticos e ópticos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Fabricação de motores, geradores e transformadores eléctricos e fabricação de material de distribuição e de controlo para instalações eléctricas",23,17,0,0,1,1,0,0,0,0,0,0,19,13,3,3
          Fabricação de acumuladores e pilhas,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
          Fabricação de fios e cabos isolados e seus acessórios,3,2,0,0,0,0,0,0,0,0,0,0,3,2,0,0
          Fabricação de lâmpadas eléctricas e de outro equipamento de iluminação,13,9,0,0,0,0,0,0,0,0,2,0,9,8,2,1
          Fabricação de aparelhos para uso doméstico,16,14,0,0,0,0,1,1,2,2,1,1,8,6,4,4
          Fabricação de outro equipamento eléctrico,22,19,0,0,1,1,0,0,0,0,2,0,12,11,7,7
          Fabricação de máquinas e de equipamentos para uso geral,47,30,0,0,3,2,0,0,0,0,6,3,35,22,3,3
          Fabricação de outras máquinas para uso geral,281,240,3,2,7,7,2,1,3,3,18,10,211,184,37,33
"          Fabricação de máquinas e de tractores para a agricultura, pecuária e silvicultura",4,4,0,0,0,0,0,0,0,0,0,0,1,1,3,3
"          Fabricação de máquinas-ferramentas, excepto portáteis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Fabricação de outras máquinas e equipamento para uso específico,22,21,0,0,1,1,0,0,0,0,0,0,17,16,4,4
          Fabricação de veículos automóveis,32,30,0,0,0,0,1,1,0,0,2,2,21,20,8,7
"          Fabricação de carroçarias, reboques e semi-reboques",5,5,0,0,0,0,0,0,1,1,0,0,4,4,0,0
          Fabricação de componentes e acessórios para veículos automóveis,17,13,0,0,0,0,0,0,0,0,0,0,17,13,0,0
          Construção naval,155,128,2,1,5,5,0,0,2,2,10,8,119,100,17,12
          Fabricação de material circulante para caminhos-de-ferro,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"          Fabricação de aeronaves, de veículos espaciais e equipamento relacionado",14,8,0,0,0,0,2,2,3,2,2,1,6,3,1,0
          Fabricação de veículos militares de combate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Fabricação de  equipamento de transporte, n.e.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
          Fabrico de mobiliário e de colchões,180,135,1,0,8,5,2,1,3,1,7,6,131,100,28,22
"          Fabricação de joalharia, ourivesaria, bijutaria e artigos similares; cunhagem de moedas",16,2,0,0,1,0,1,0,0,0,2,0,11,2,1,0
          Fabricação de instrumentos musicais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Fabricação de artigos de desporto,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
          Fabricação de jogos e de brinquedos,15,4,0,0,0,0,2,0,0,0,0,0,13,4,0,0
          Fabricação de instrumentos e material médico-cirurgico,32,16,0,0,0,0,1,1,0,0,3,1,19,8,9,6
"          Indústrias transformadoras, n.e.",56,35,3,2,5,4,0,0,1,0,5,2,35,23,7,4
"          Reparação e  manutenção de produtos metálicos, máquinas e equipamentos",230,198,2,2,9,8,11,10,3,2,30,22,143,126,32,28
          Instalação de máquinas e de equipamentos industriais,134,124,2,2,7,7,1,1,1,1,4,2,95,89,24,22
"          Produção, transporte, distribuição e comércio de electricidade",761,698,8,4,21,18,7,6,5,3,157,134,438,415,125,118
          Produção de gás; distribuição de combustíveis gasosos por condutas; comércio de gás por condutas,82,54,0,0,2,0,2,0,3,3,8,2,52,35,15,14
"          Produção e distribuição de vapor,  água quente e fria  e ar frio por conduta; produção de gelo",7,7,0,0,0,0,0,0,0,0,0,0,6,6,1,1
"          Captação, tratamento  e distribuição de água",653,435,4,3,11,9,1,1,13,10,113,73,439,288,72,51
"          Recolha, drenagem  e tratamento de águas residuais",223,170,1,1,5,4,1,0,6,5,34,23,153,119,23,18
          Recolha de resíduos,268,237,1,1,10,8,2,2,8,4,41,36,177,159,29,27
          Tratamento e eliminação de resíduos,58,55,0,0,0,0,0,0,0,0,9,9,44,41,5,5
          Valorização de materiais,216,168,0,0,6,5,1,1,4,4,12,7,151,118,42,33
          Descontaminação e actividades similares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Promoção imobiliária (desenvolvimento de projectos de edifícios),56,27,0,0,1,0,0,0,1,1,13,5,27,9,14,12
          Construção de edifícios (residenciais e não residenciais),10352,9482,76,67,397,365,122,89,129,99,810,589,6624,6173,2194,2100
"          Construção de  estradas, pontes, túneis, pistas de aeroportos e vias férreas",243,225,0,0,10,9,3,2,6,6,21,16,155,146,48,46
"          Construção de redes de transporte de águas, de esgotos, de distribuição de energia, de telecomunicações  e de outras redes",54,45,1,1,3,2,0,0,0,0,13,6,27,26,10,10
          Construção de outras obras de engenharia civil,310,274,0,0,9,9,3,3,3,3,31,16,188,173,76,70
          Demolição e preparação dos locais de construção,118,103,0,0,5,4,4,2,2,1,10,7,73,66,24,23
"          Instalação eléctrica, de canalizações, de climatização e outras instalações",1050,939,5,5,42,34,11,7,8,8,92,64,713,649,179,172
          Actividades de acabamento em edifícios,444,420,4,3,25,23,5,5,3,3,24,20,315,300,68,66
          Outras actividades especializadas de construção,85,72,0,0,4,2,0,0,4,4,6,5,58,48,13,13
          Comércio de veículos automóveis,861,637,3,2,18,13,4,4,8,8,125,52,550,424,153,134
          Manutenção e reparação de veículos automóveis,1545,1346,11,11,59,45,10,3,12,9,122,86,1138,1020,193,172
          Comércio de peças e acessórios para veículos automóveis,359,292,3,2,10,8,7,4,4,2,23,17,250,199,62,60
"          Comércio, manutenção e reparação de motociclos, de suas peças e acessórios",78,57,2,2,6,4,0,0,1,0,3,1,56,45,10,5
          Agentes do comércio por grosso,70,51,1,1,1,1,0,0,0,0,7,4,48,36,13,9
          Comércio por grosso de produtos agrícolas brutos e animais vivos,120,71,1,0,2,2,4,1,1,0,9,4,74,48,29,16
"          Comércio por grosso de produtos alimentares, bebidas e tabaco",1265,861,3,2,39,24,44,17,14,4,110,68,770,521,285,225
"          Comércio por grosso de bens de consumo, excepto alimentares, bebidas e tabaco",156,102,1,1,6,6,2,1,4,2,9,5,101,57,33,30
          Comércio por grosso de equipamento das tecnologias  de informação e comunicação ( TIC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Comércio por grosso de outras máquinas, equipamentos e suas partes",342,238,1,1,5,3,4,2,5,4,22,13,251,169,54,46
"          Comércio por grosso de combustíveis, metais, materiais de construção, ferragens e outros produtos n.e.",757,579,3,2,24,19,7,3,9,6,70,42,511,391,133,116
          Comércio por grosso não especializado,521,339,4,2,28,18,14,4,10,6,41,24,325,209,99,76
          Comércio a retalho em estabelecimentos não especializados,6222,1917,77,15,235,63,522,119,231,39,346,109,3901,1114,910,458
"          Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados",2385,1431,26,14,96,50,57,21,65,30,231,131,1356,787,554,398
"          Comércio a retalho de combustível para veículos a motor, em estabelecimentos especializados",652,288,5,3,23,9,9,3,11,3,65,31,441,182,98,57
"          Comércio a retalho de equipamento das tecnologias de informação e comunicação (TIC), em estabelecimentos especializados",303,201,4,3,10,7,7,4,3,1,43,28,199,128,37,30
"          Comércio a retalho de outro equipamento  para uso doméstico, em estabelecimentos especializados",3083,1600,24,10,116,54,79,22,45,17,217,96,2194,1126,408,275
"          Comércio a retalho de bens culturais e recreativos, em estabelecimentos especializados",748,248,5,1,37,13,49,21,29,11,60,15,470,148,98,39
"          Comércio a retalho de outros produtos, em estabelecimentos especializados",5533,1248,63,11,214,42,297,40,143,21,440,86,3642,806,734,242
"          Comércio a retalho em bancas,  feiras e unidades móveis de venda",49,21,0,0,0,0,3,3,4,1,16,9,21,7,5,1
"          Comércio a retalho não efectuado em estabelecimentos,  bancas, feiras ou unidades móveis de venda",53,28,2,1,5,2,4,1,3,3,8,4,19,10,12,7
          Transporte interurbano  de passageiros por caminho-de-ferro,174,153,1,1,6,6,0,0,0,0,13,10,114,99,40,37
          Transporte de mercadorias por caminho-de-ferro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Outros transportes terrestres  de passageiros,1257,1089,9,6,50,45,26,22,26,18,117,91,577,494,452,413
          Transportes rodoviários de mercadorias e actividades de mudanças,1186,1075,10,6,49,44,17,13,8,6,92,77,592,529,418,400
          Transportes por oleodutos ou gasodutos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Transportes marítimos de passageiros,104,82,2,2,5,5,5,4,1,0,6,4,46,31,39,36
          Transportes marítimos de mercadorias,20,20,0,0,0,0,0,0,1,1,0,0,5,5,14,14
          Transportes de passageiros por vias navegáveis interiores,11,9,0,0,1,1,0,0,0,0,1,1,8,6,1,1
          Transportes de mercadorias por vias navegáveis interiores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Transportes aéreos de passageiros,268,169,1,1,10,6,61,40,37,19,83,58,55,28,21,17
          Transportes aéreos de mercadorias e transportes espaciais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Armazenagem,4,2,0,0,0,0,0,0,0,0,1,1,3,1,0,0
          Actividades auxiliares dos transportes,834,584,6,5,19,11,136,97,40,29,308,197,264,194,61,51
          Actividades postais sujeitas a obrigações do serviço universal,618,388,5,2,22,12,12,6,10,5,200,118,286,181,83,64
          Outras actividades postais e de courier,27,22,0,0,1,1,0,0,2,2,2,1,17,13,5,5
          Estabelecimentos hoteleiros,11979,5234,69,23,470,189,141,49,119,35,669,270,8594,3642,1917,1026
          Residencias para férias e outros alojamentos de curta duração,591,268,2,0,22,5,21,4,11,2,70,23,399,193,66,41
          Parques de campismo e de caravanismo,142,80,0,0,9,3,2,0,4,3,23,14,90,51,14,9
          Outros locais de alojamento,7,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0
          Restaurantes (inclui actividades de restauração em meios móveis),8639,3503,79,19,441,162,245,85,177,62,628,243,4504,1778,2565,1154
          Fornecimento de refeições para eventos e outras actividades de serviço de refeições,240,45,1,0,15,6,7,0,12,1,61,3,104,20,40,15
          Estabelecimentos de bebidas,2566,895,29,7,131,48,65,26,53,22,224,70,1445,452,619,270
"          Edição  de livros, de jornais e de outras publicações",117,44,2,0,7,4,3,0,9,3,21,6,50,17,25,14
          Edição de programas informáticos,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0
"          Actividades cinematográficas, de vídeo e de produção de programas de televisão",73,39,1,0,2,0,16,9,5,3,8,6,31,17,10,4
          Actividades de gravação de som e edição de música,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Actividades de rádio,37,19,0,0,0,0,1,1,2,0,12,5,20,12,2,1
          Actividades de  televisão,22,13,0,0,0,0,0,0,0,0,6,3,10,5,6,5
          Actividades de telecomunicações por fio,1149,737,5,5,36,21,40,17,37,26,323,217,518,307,190,144
          Actividades de telecomunicações sem fio,12,2,0,0,2,1,3,0,0,0,0,0,7,1,0,0
          Actividades de telecomunicações por satélite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Outras actividades de telecomunicações,29,16,0,0,1,0,1,1,2,1,4,1,16,8,5,5
          Consultoria e programação informática e actividades relacionadas,336,269,3,3,13,9,5,4,4,2,46,34,199,159,66,58
"          Actividades de processamento de dados, domiciliação de informação  e actividades relacionadas; portais Web",5,4,0,0,0,0,0,0,0,0,1,1,4,3,0,0
          Outras actividades dos serviços de informação,9,3,0,0,0,0,0,0,1,0,2,0,3,1,3,2
          Intermediação monetária,2144,1065,14,1,73,29,21,3,18,6,531,254,817,356,670,416
          Actividades das sociedades gestoras de participações sociais,7,2,0,0,0,0,0,0,0,0,1,1,6,1,0,0
"          Trusts, fundos e  entidades financeiras similares",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Outras actividades de serviços financeiros, excepto seguros e fundos de pensões",68,37,1,1,8,3,0,0,0,0,10,2,31,19,18,12
          Seguros,325,169,5,1,9,3,6,2,9,4,112,45,112,62,72,52
          Resseguros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Fundos de pensões e regimes profissionais complementares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Actividades auxiliares de serviços financeiros, excepto seguros e fundos de pensões",26,17,0,0,1,1,1,0,0,0,5,2,12,10,7,4
          Actividades auxiliares de seguros e de fundos de pensões,119,39,1,0,3,0,2,0,1,0,42,9,56,19,14,11
          Actividades de gestão de fundos,4,2,0,0,0,0,0,0,0,0,0,0,3,1,1,1
          Compra e venda de bens imobiliários,189,74,1,0,6,1,3,0,4,3,38,13,106,38,31,19
          Arrendamento de bens imobiliários,20,11,0,0,1,1,2,0,3,2,6,5,5,2,3,1
          Actividades imobiliárias por conta de outrem,1317,390,11,2,53,15,41,9,38,12,204,53,806,222,164,77
          Actividades jurídicas e dos cartórios notariais,507,50,5,1,19,4,23,3,23,1,179,13,229,22,29,6
          Actividades de contabilidade e auditoria;  consultoria fiscal,1534,300,24,1,80,13,41,9,37,11,442,61,797,149,113,56
          Actividades das sedes sociais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Actividades de consultoria para os negócios e a gestão,68,25,1,0,0,0,1,0,2,1,15,10,43,12,6,2
"          Actividades de arquitectura, de engenharia e técnicas afins",660,373,5,3,18,6,18,4,15,5,151,73,352,203,101,79
          Actividades de ensaios e análises técnicas,143,93,1,1,4,3,3,2,1,1,16,7,97,63,21,16
          Investigação e desenvolvimento das ciências físicas e naturais,110,45,0,0,1,0,2,2,0,0,38,14,42,15,27,14
          Investigação e desenvolvimento das ciências sociais e humanas,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
          Publicidade,339,204,7,7,15,10,3,1,8,4,53,23,191,111,62,48
          Estudos de mercado e sondagens de opinião,49,18,3,0,5,1,3,0,0,0,10,4,20,8,8,5
          Actividades de design,87,52,1,1,4,2,3,1,3,2,10,3,55,33,11,10
          Actividades fotográficas,61,15,1,0,3,0,4,2,3,1,7,2,33,6,10,4
          Actividades de tradução e interpretação,11,3,0,0,0,0,1,0,0,0,2,1,6,2,2,0
"          Outras actividades de consultoria, científicas, técnicas e similares, n.e.",43,26,0,0,1,0,1,1,1,1,15,11,20,11,5,2
          Actividades veterinárias,117,23,1,1,4,0,6,1,7,1,26,4,53,9,20,7
          Aluguer de veículos automóveis,614,357,7,3,11,4,8,5,6,1,40,24,415,239,127,81
