"3.20 - ALOJAMENTOS CLÁSSICOS PROPRIEDADE DOS OCUPANTES, OCUPADOS COMO RESIDÊNCIA HABITUAL, SEGUNDO A ÁREA ÚTIL DO ALOJAMENTO, POR GRUPO SÓCIO-ECONÓMICO DO TITULAR DO ALOJAMENTO, EXISTÊNCIA DE ENCARGOS POR COMPRA E RESPECTIVOS ESCALÕES",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,"Alojamentos clássicos, segundo a área útil do alojamento",,,,,,,,,,Famílias clássicas,Pessoas residentes,
Grupo sócio-económico do titular do alojamento e escalão de encargos,,Menos de 30m2,De 30 a menos de 40m2,De 40 a menos de 50 m2,De 50 a menos de 60 m2,De 60 a menos de 80 m2,De 80 a menos de 100 m2,De 100 a menos de 120 m2,De 120 a menos de 150 m2,De 150 a menos de 200 m2,200 m2 ou mais,,,
        800 euros ou mais,6140,23,38,81,120,407,734,869,1098,1232,1538,6196,19545,
      Operários qualificados e semi-qualificados,380220,2937,4855,11602,16269,44947,80890,79453,66773,43340,29154,383107,1241114,
        Sem encargos,151210,1578,2323,5710,7700,18281,29650,31172,27104,16705,10987,152941,489581,
        Com encargos,229010,1359,2532,5892,8569,26666,51240,48281,39669,26635,18167,230166,751533,
        Menos de 75 euros,4797,86,108,247,307,840,1122,931,610,349,197,4827,14844,
"        75  - 99,99 euros",4593,49,83,217,267,650,1072,978,684,395,198,4621,14776,
"        100 - 149,99 euros",11776,103,210,467,607,1645,2554,2426,1921,1178,665,11827,38624,
        150 - 199.99 euros,17658,158,282,617,930,2494,4058,3466,2747,1818,1088,17727,57735,
"        200 - 249,99 euros",25951,162,364,821,1175,3474,6203,5527,4155,2518,1552,26035,84109,
"        250 - 299,99 euros",35182,188,363,877,1327,4435,8736,7583,5842,3673,2158,35311,114565,
"        300 - 349,99 euros",31655,148,331,648,1071,3662,7567,7116,5439,3487,2186,31795,103376,
"        350 - 399,99 euros",27264,129,214,556,837,2721,6362,6205,4884,3240,2116,27375,89623,
"        400 - 499,99 euros",39848,197,376,889,1273,4276,8514,8429,7299,5013,3582,40128,131520,
"        500 - 649,99 euros",17289,58,73,250,379,1214,2915,3580,3499,2862,2459,17405,58358,
"        650 - 799,99 euros",8515,52,96,215,263,875,1463,1379,1713,1340,1119,8593,28843,
        800 euros ou mais,4482,29,32,88,133,380,674,661,876,762,847,4522,15160,
      Assalariados do sector primário,20705,349,464,991,1297,3025,4254,3890,3138,1878,1419,20967,65915,
        Sem encargos,12738,252,335,678,937,1935,2545,2313,1868,1080,795,12910,39190,
        Com encargos,7967,97,129,313,360,1090,1709,1577,1270,798,624,8057,26725,
        Menos de 75 euros,333,8,11,24,30,66,69,57,31,26,11,336,1083,
"        75  - 99,99 euros",256,4,7,17,23,41,63,48,30,14,9,260,824,
"        100 - 149,99 euros",635,7,15,42,41,88,132,133,113,38,26,637,2186,
        150 - 199.99 euros,776,18,19,32,33,109,202,141,106,71,45,780,2588,
"        200 - 249,99 euros",944,9,18,40,39,147,218,188,155,83,47,948,3128,
"        250 - 299,99 euros",1030,8,12,31,49,140,253,220,151,99,67,1036,3429,
"        300 - 349,99 euros",908,10,10,27,35,120,207,203,138,89,69,916,2990,
"        350 - 399,99 euros",771,4,8,21,24,102,148,158,138,95,73,776,2630,
"        400 - 499,99 euros",1248,14,13,41,46,169,260,243,224,130,108,1278,4157,
"        500 - 649,99 euros",480,3,7,15,14,40,69,97,87,80,68,489,1685,
"        650 - 799,99 euros",385,6,6,18,18,42,59,61,62,51,62,394,1313,
        800 euros ou mais,201,6,3,5,8,26,29,28,35,22,39,207,712,
      Trabalhadores administrativos do comércio e serviços não qualificados,72372,1133,1674,3703,4722,11963,16552,13363,9692,5606,3964,73119,208306,
        Sem encargos,34497,681,898,2013,2447,5603,7254,6183,4723,2733,1962,34908,95166,
        Com encargos,37875,452,776,1690,2275,6360,9298,7180,4969,2873,2002,38211,113140,
        Menos de 75 euros,1439,38,61,112,124,297,352,225,127,59,44,1448,4024,
"        75  - 99,99 euros",1091,17,22,65,85,221,257,210,115,63,36,1097,3007,
"        100 - 149,99 euros",2531,29,74,170,193,528,565,458,288,133,93,2545,6989,
        150 - 199.99 euros,3415,50,80,197,276,654,835,582,393,218,130,3436,9574,
"        200 - 249,99 euros",4464,53,96,253,305,825,1146,831,516,275,164,4496,12702,
"        250 - 299,99 euros",5198,49,110,216,281,912,1394,1019,644,360,213,5219,15349,
"        300 - 349,99 euros",4601,46,67,153,255,720,1223,952,634,321,230,4631,14062,
"        350 - 399,99 euros",3835,38,74,129,191,568,980,799,550,314,192,3863,11899,
"        400 - 499,99 euros",6292,80,113,238,346,996,1560,1227,840,522,370,6382,19519,
"        500 - 649,99 euros",2419,11,33,54,85,267,496,494,431,300,248,2448,7956,
"        650 - 799,99 euros",1748,26,28,79,91,260,354,255,292,199,164,1783,5441,
        800 euros ou mais,842,15,18,24,43,112,136,128,139,109,118,863,2618,
      Operários não qualificados,45361,601,867,1899,2423,6180,9739,9064,7202,4379,3007,45812,142710,
        Sem encargos,20700,363,503,1034,1293,2845,4097,4121,3313,1850,1281,20964,64327,
        Com encargos,24661,238,364,865,1130,3335,5642,4943,3889,2529,1726,24848,78383,
        Menos de 75 euros,655,14,25,47,58,120,134,119,62,43,33,661,1953,
"        75  - 99,99 euros",551,14,11,26,47,70,130,107,72,45,29,556,1698,
"        100 - 149,99 euros",1411,24,37,65,99,218,306,275,197,108,82,1421,4510,
        150 - 199.99 euros,2077,18,46,93,121,341,480,386,301,193,98,2091,6395,
"        200 - 249,99 euros",3089,32,37,132,156,459,740,611,471,293,158,3106,9606,
"        250 - 299,99 euros",3819,29,54,104,182,538,922,835,609,333,213,3836,11936,
"        300 - 349,99 euros",3317,17,39,106,122,461,795,688,543,327,219,3327,10474,
"        350 - 399,99 euros",2686,21,26,81,84,302,688,563,436,306,179,2703,8595,
"        400 - 499,99 euros",4064,41,57,130,155,491,954,834,640,435,327,4115,13281,
"        500 - 649,99 euros",1547,6,15,33,37,138,238,318,316,241,205,1565,5212,
"        650 - 799,99 euros",943,14,12,26,47,132,166,131,172,142,101,959,3056,
        800 euros ou mais,502,8,5,22,22,65,89,76,70,63,82,508,1667,
      Trabalhadores não qualificados do sector primário,6212,151,170,364,498,941,1254,1123,845,518,348,6422,19303,
        Sem encargos,4277,122,126,284,363,689,895,763,517,320,198,4420,12796,
        Com encargos,1935,29,44,80,135,252,359,360,328,198,150,2002,6507,
        Menos de 75 euros,140,1,8,10,21,17,27,24,21,8,3,141,435,
"        75  - 99,99 euros",105,0,6,4,10,10,23,17,23,11,1,109,345,
"        100 - 149,99 euros",212,6,5,11,19,37,39,39,30,16,10,214,723,
        150 - 199.99 euros,261,2,5,14,15,51,41,52,39,23,19,261,883,
"        200 - 249,99 euros",240,1,3,11,13,32,48,42,45,26,19,241,804,
"        250 - 299,99 euros",214,0,4,5,12,28,43,50,25,28,19,214,724,
"        300 - 349,99 euros",169,2,3,5,5,19,32,37,30,20,16,176,609,
"        350 - 399,99 euros",143,3,3,1,6,12,23,33,29,16,17,156,488,
"        400 - 499,99 euros",271,7,4,13,21,32,54,46,42,27,25,305,880,
"        500 - 649,99 euros",80,3,1,1,4,4,16,8,20,14,9,81,269,
"        650 - 799,99 euros",63,0,2,3,7,7,9,10,17,4,4,66,223,
        800 euros ou mais,37,4,0,2,2,3,4,2,7,5,8,38,124,
      Pessoal das forças armadas,13503,30,63,177,301,1224,2527,2900,2620,2025,1636,13533,41202,
        Sem encargos,2155,6,12,52,65,191,419,428,400,319,263,2164,6659,
        Com encargos,11348,24,51,125,236,1033,2108,2472,2220,1706,1373,11369,34543,
        Menos de 75 euros,220,1,2,3,3,37,54,53,37,16,14,220,701,
"        75  - 99,99 euros",158,2,2,2,6,21,41,35,28,14,7,158,476,
"        100 - 149,99 euros",426,3,1,6,11,52,96,89,82,55,31,426,1347,
        150 - 199.99 euros,601,0,1,13,31,85,127,127,104,65,48,601,1808,
"        200 - 249,99 euros",816,2,8,13,22,121,212,180,129,79,50,818,2377,
"        250 - 299,99 euros",1268,6,8,20,42,169,325,284,208,110,96,1274,3636,
"        300 - 349,99 euros",1340,1,9,16,36,160,337,314,213,162,92,1343,3812,
"        350 - 399,99 euros",1356,3,8,19,25,122,278,341,282,173,105,1358,3937,
"        400 - 499,99 euros",2191,1,8,20,40,159,374,532,456,351,250,2197,6595,
"        500 - 649,99 euros",1593,2,3,4,9,65,172,345,363,353,277,1595,5146,
"        650 - 799,99 euros",788,2,0,6,3,33,60,97,194,195,198,788,2650,
        800 euros ou mais,591,1,1,3,8,9,32,75,124,133,205,591,2058,
      Outras pessoas activas n.e.,8800,195,214,349,458,1175,1782,1680,1345,863,739,8877,25040,
        Sem encargos,4010,124,120,193,222,513,752,765,598,387,336,4052,11060,
        Com encargos,4790,71,94,156,236,662,1030,915,747,476,403,4825,13980,
        Menos de 75 euros,192,8,9,11,14,28,49,28,20,15,10,192,557,
"        75  - 99,99 euros",116,3,3,5,10,29,27,12,13,9,5,116,320,
"        100 - 149,99 euros",246,8,4,10,16,34,53,46,36,27,12,248,696,
        150 - 199.99 euros,350,8,13,14,22,55,71,83,42,28,14,355,963,
"        200 - 249,99 euros",430,7,5,20,33,82,98,78,60,25,22,430,1217,
"        250 - 299,99 euros",604,8,16,22,31,104,158,122,64,48,31,607,1726,
"        300 - 349,99 euros",602,9,18,21,39,92,132,127,87,49,28,606,1768,
"        350 - 399,99 euros",520,7,9,15,20,68,141,109,78,47,26,522,1519,
"        400 - 499,99 euros",778,12,8,20,28,106,172,147,139,80,66,788,2248,
"        500 - 649,99 euros",485,1,6,7,17,38,79,109,104,62,62,492,1527,
"        650 - 799,99 euros",218,0,2,6,5,15,25,27,54,40,44,219,668,
        800 euros ou mais,249,0,1,5,1,11,25,27,50,46,83,250,771,
      Inactivos,1231974,15805,26020,58972,81706,195481,256862,216072,179119,112046,89891,1242361,2712902,
        Sem encargos,1057279,13966,23040,52292,72318,169543,219377,184626,151769,94730,75618,1065754,2271337,
        Com encargos,174695,1839,2980,6680,9388,25938,37485,31446,27350,17316,14273,176607,441565,
        Menos de 75 euros,19162,436,579,1251,1577,3835,4439,3069,2134,1100,742,19324,43669,
"        75  - 99,99 euros",8860,104,197,439,600,1511,2157,1705,1133,606,408,8930,21380,
"        100 - 149,99 euros",14808,174,310,607,960,2381,3479,2969,2061,1116,751,14941,36655,
        150 - 199.99 euros,14103,122,252,555,788,2292,3437,2754,1974,1162,767,14215,35950,
"        200 - 249,99 euros",13837,118,222,514,776,2127,3207,2776,2055,1228,814,13951,35776,
"        250 - 299,99 euros",13017,91,156,405,648,1818,3085,2605,2072,1275,862,13162,34968,
"        300 - 349,99 euros",11851,78,124,351,515,1677,2703,2400,1982,1152,869,11965,31660,
"        350 - 399,99 euros",11129,74,119,310,417,1364,2412,2327,1951,1230,925,11245,30026,
"        400 - 499,99 euros",26641,280,445,939,1332,3924,5828,4953,4254,2669,2017,27045,67579,
"        500 - 649,99 euros",12395,50,82,254,416,1180,2080,2244,2533,1814,1742,12539,33404,
"        650 - 799,99 euros",18502,236,355,777,999,2791,3258,2358,3427,2294,2007,18760,43762,
        800 euros ou mais,10390,76,139,278,360,1038,1400,1286,1774,1670,2369,10530,26736,
      Continente,2787428,23685,40408,92918,133654,358137,557091,526056,469102,317435,268942,2807569,7379775,
"        Empresários com profissões intelectuais, científicas e técnicas",16547,25,70,182,320,1270,2529,2713,3227,2763,3448,16601,46171,
          Sem encargos,5071,8,14,48,82,334,626,721,955,963,1320,5096,13888,
          Com encargos,11476,17,56,134,238,936,1903,1992,2272,1800,2128,11505,32283,
          Menos de 75 euros,169,2,3,5,5,15,32,40,33,15,19,170,450,
"          75  - 99,99 euros",134,2,3,5,3,13,28,18,21,25,16,134,353,
"          100 - 149,99 euros",335,0,4,5,9,49,65,72,62,40,29,335,850,
          150 - 199.99 euros,415,1,5,10,15,40,96,82,76,50,40,418,1069,
"          200 - 249,99 euros",632,2,8,13,31,86,178,101,92,63,58,634,1543,
"          250 - 299,99 euros",841,4,6,27,37,109,186,165,158,80,69,845,2063,
"          300 - 349,99 euros",1012,1,10,19,39,148,227,235,170,103,60,1014,2550,
"          350 - 399,99 euros",1109,0,2,13,30,128,274,228,183,139,112,1111,2878,
"          400 - 499,99 euros",1845,4,11,20,33,178,377,372,414,243,193,1849,4910,
"          500 - 649,99 euros",1864,1,3,11,16,97,262,334,468,347,325,1866,5422,
"          650 - 799,99 euros",1150,0,1,2,15,42,113,175,279,256,267,1154,3531,
          800 euros ou mais,1970,0,0,4,5,31,65,170,316,439,940,1975,6664,
        Empresários da indústria comércio e serviços,38430,117,186,464,684,2061,4273,5579,7067,7154,10845,38612,122397,
          Sem encargos,16928,54,71,188,285,815,1503,2326,3101,3201,5384,17040,52585,
          Com encargos,21502,63,115,276,399,1246,2770,3253,3966,3953,5461,21572,69812,
          Menos de 75 euros,328,6,3,7,14,40,48,63,58,46,43,328,987,
"          75  - 99,99 euros",287,1,8,8,11,29,50,54,51,35,40,287,854,
"          100 - 149,99 euros",631,3,5,10,13,54,92,113,141,104,96,634,1940,
          150 - 199.99 euros,849,5,16,21,30,80,130,164,145,151,107,851,2576,
"          200 - 249,99 euros",1210,4,16,23,65,130,261,219,183,168,141,1212,3714,
"          250 - 299,99 euros",1823,11,20,43,60,176,356,361,355,246,195,1828,5656,
"          300 - 349,99 euros",1872,5,12,34,41,183,352,386,350,266,243,1875,5844,
"          350 - 399,99 euros",1943,10,10,35,42,143,337,359,403,305,299,1948,6221,
"          400 - 499,99 euros",3645,10,15,53,61,212,562,656,763,620,693,3659,11603,
"          500 - 649,99 euros",3383,3,4,27,33,115,323,487,722,722,947,3395,11265,
"          650 - 799,99 euros",2116,2,1,11,17,55,141,198,384,555,752,2130,7231,
          800 euros ou mais,3415,3,5,4,12,29,118,193,411,735,1905,3425,11921,
        Empresários do sector primário,880,5,8,15,13,63,89,128,145,141,273,882,2917,
          Sem encargos,540,3,6,8,7,44,50,71,97,82,172,542,1693,
          Com encargos,340,2,2,7,6,19,39,57,48,59,101,340,1224,
          Menos de 75 euros,6,0,0,0,0,0,1,1,1,3,0,6,21,
"          75  - 99,99 euros",7,1,0,1,0,0,0,0,0,2,3,7,21,
"          100 - 149,99 euros",15,0,0,0,2,1,0,4,3,2,3,15,53,
          150 - 199.99 euros,24,0,0,1,0,3,2,7,4,3,4,24,83,
"          200 - 249,99 euros",20,0,0,0,1,2,5,3,1,3,5,20,73,
"          250 - 299,99 euros",26,0,0,1,1,1,6,8,2,4,3,26,88,
"          300 - 349,99 euros",28,1,1,0,2,3,3,6,5,2,5,28,91,
"          350 - 399,99 euros",29,0,0,1,0,1,5,1,8,6,7,29,113,
"          400 - 499,99 euros",60,0,1,1,0,3,7,10,10,11,17,60,206,
"          500 - 649,99 euros",47,0,0,1,0,1,4,10,4,7,20,47,170,
"          650 - 799,99 euros",28,0,0,0,0,3,4,3,2,7,9,28,103,
          800 euros ou mais,50,0,0,1,0,1,2,4,8,9,25,50,202,
        Pequenos patrões com profissões intelectuais e científicas,15896,25,50,125,241,871,1965,2376,3198,3029,4016,15952,46164,
          Sem encargos,5614,11,19,46,71,280,607,739,1061,1107,1673,5642,15720,
          Com encargos,10282,14,31,79,170,591,1358,1637,2137,1922,2343,10310,30444,
          Menos de 75 euros,120,0,0,0,4,9,21,22,25,23,16,120,331,
"          75  - 99,99 euros",118,0,0,1,6,12,22,22,23,14,18,118,314,
"          100 - 149,99 euros",239,1,2,3,8,20,30,43,62,35,35,239,629,
          150 - 199.99 euros,343,0,0,7,13,33,64,54,68,45,59,345,897,
"          200 - 249,99 euros",499,3,6,9,20,57,109,101,97,51,46,499,1281,
"          250 - 299,99 euros",694,1,4,17,28,85,144,151,130,77,57,694,1772,
"          300 - 349,99 euros",781,0,6,11,33,59,154,157,157,113,91,784,2095,
"          350 - 399,99 euros",937,3,6,6,19,76,191,220,186,131,99,939,2503,
"          400 - 499,99 euros",1678,2,4,8,20,115,270,319,411,280,249,1683,4874,
"          500 - 649,99 euros",1845,2,1,9,10,72,221,314,413,405,398,1849,5625,
"          650 - 799,99 euros",1137,0,2,3,4,37,79,117,266,293,336,1140,3693,
          800 euros ou mais,1891,2,0,5,5,16,53,117,299,455,939,1900,6430,
        Pequenos patrões com profissões técnicas intermédias,14284,19,56,129,218,891,2002,2604,2976,2499,2890,14336,42792,
          Sem encargos,4700,10,21,43,75,294,594,837,972,856,998,4732,13518,
          Com encargos,9584,9,35,86,143,597,1408,1767,2004,1643,1892,9604,29274,
          Menos de 75 euros,154,1,2,4,5,16,33,40,24,13,16,154,430,
"          75  - 99,99 euros",135,0,2,2,4,22,27,21,36,11,10,135,367,
"          100 - 149,99 euros",284,2,1,4,12,21,50,55,64,43,32,284,819,
          150 - 199.99 euros,360,0,2,8,14,46,72,71,62,57,28,361,1008,
"          200 - 249,99 euros",563,2,4,8,20,55,116,113,118,70,57,567,1558,
"          250 - 299,99 euros",846,0,8,21,14,84,170,182,166,108,93,847,2447,
"          300 - 349,99 euros",942,0,4,8,23,91,192,226,175,121,102,944,2741,
"          350 - 399,99 euros",970,1,5,8,10,69,202,217,203,149,106,970,2906,
"          400 - 499,99 euros",1770,2,1,16,21,102,284,374,398,275,297,1776,5347,
"          500 - 649,99 euros",1637,0,2,5,9,58,164,279,409,338,373,1641,5263,
"          650 - 799,99 euros",860,0,3,2,6,14,68,102,194,195,276,861,2821,
          800 euros ou mais,1063,1,1,0,5,19,30,87,155,263,502,1064,3567,
        Pequenos patrões da indústria,67815,153,272,905,1330,4216,9364,12270,14142,12475,12688,68264,226145,
          Sem encargos,34046,100,151,493,696,2097,4592,6331,7356,6073,6157,34344,111655,
          Com encargos,33769,53,121,412,634,2119,4772,5939,6786,6402,6531,33920,114490,
          Menos de 75 euros,595,2,4,16,16,58,97,110,127,84,81,599,1904,
"          75  - 99,99 euros",544,1,6,10,25,55,107,96,115,61,68,545,1809,
"          100 - 149,99 euros",1272,2,10,30,32,121,217,231,266,190,173,1276,4318,
          150 - 199.99 euros,1622,4,9,34,50,168,279,295,314,271,198,1626,5403,
"          200 - 249,99 euros",2548,6,8,35,67,250,495,495,513,372,307,2557,8539,
"          250 - 299,99 euros",3393,5,17,53,87,285,595,699,716,538,398,3402,11384,
"          300 - 349,99 euros",3428,5,15,47,70,237,605,729,705,601,414,3443,11450,
"          350 - 399,99 euros",3436,8,9,43,74,224,534,709,695,630,510,3447,11648,
"          400 - 499,99 euros",6298,12,26,79,104,377,910,1147,1283,1228,1132,6334,21338,
"          500 - 649,99 euros",4932,4,4,35,57,180,531,795,1034,1121,1171,4952,16973,
"          650 - 799,99 euros",2707,2,5,21,32,107,232,366,556,611,775,2727,9292,
          800 euros ou mais,2994,2,8,9,20,57,170,267,462,695,1304,3012,10432,
        Pequenos patrões do comércio e serviços,54076,167,291,805,1219,4025,8338,10008,11032,9227,8964,54463,169028,
          Sem encargos,26494,91,152,433,621,1933,3867,4820,5411,4627,4539,26711,79940,
          Com encargos,27582,76,139,372,598,2092,4471,5188,5621,4600,4425,27752,89088,
          Menos de 75 euros,518,1,7,13,23,69,115,102,81,60,47,521,1522,
"          75  - 99,99 euros",460,4,5,5,11,56,95,103,87,49,45,463,1391,
"          100 - 149,99 euros",984,8,13,23,38,89,190,197,210,128,88,988,3089,
          150 - 199.99 euros,1283,4,13,28,52,147,260,246,235,171,127,1287,3942,
"          200 - 249,99 euros",1824,12,13,38,64,191,367,373,368,221,177,1831,5623,
"          250 - 299,99 euros",2571,7,18,44,70,295,560,529,475,334,239,2583,7990,
"          300 - 349,99 euros",2757,6,13,42,58,247,575,644,514,371,287,2770,8649,
"          350 - 399,99 euros",2893,7,15,42,55,228,531,620,580,457,358,2900,9309,
"          400 - 499,99 euros",5207,16,24,76,111,380,898,1010,1128,842,722,5242,16849,
"          500 - 649,99 euros",4170,5,8,27,66,206,491,740,983,835,809,4214,14021,
"          650 - 799,99 euros",2391,4,6,22,30,116,229,347,501,569,567,2411,8053,
          800 euros ou mais,2524,2,4,12,20,68,160,277,459,563,959,2542,8650,
        Pequenos patrões do sector primário,10228,45,86,198,338,779,1462,1950,1932,1624,1814,10315,34268,
          Sem encargos,8136,35,67,171,285,644,1197,1596,1544,1246,1351,8211,26847,
          Com encargos,2092,10,19,27,53,135,265,354,388,378,463,2104,7421,
          Menos de 75 euros,70,3,1,1,2,8,11,14,14,9,7,71,229,
"          75  - 99,99 euros",49,0,2,2,4,6,7,9,11,4,4,49,170,
"          100 - 149,99 euros",108,0,1,5,5,14,16,26,20,10,11,109,367,
          150 - 199.99 euros,135,3,2,4,6,11,16,24,31,19,19,137,468,
"          200 - 249,99 euros",174,1,4,3,8,14,33,32,31,20,28,174,618,
"          250 - 299,99 euros",213,0,1,5,4,12,31,54,41,34,31,213,736,
"          300 - 349,99 euros",207,1,1,0,8,12,32,32,48,40,33,209,729,
"          350 - 399,99 euros",197,0,2,4,4,17,24,35,34,44,33,197,697,
"          400 - 499,99 euros",360,1,2,3,9,24,46,59,61,77,78,361,1259,
"          500 - 649,99 euros",226,1,1,0,1,5,21,32,42,54,69,227,821,
"          650 - 799,99 euros",167,0,2,0,1,7,16,20,31,33,57,169,603,
          800 euros ou mais,186,0,0,0,1,5,12,17,24,34,93,188,724,
        Profissionais intelectuais e científicos independentes,12759,27,56,174,316,1071,1923,2257,2542,2158,2235,12800,33959,
          Sem encargos,4966,12,26,69,108,380,669,838,968,881,1015,4990,12525,
          Com encargos,7793,15,30,105,208,691,1254,1419,1574,1277,1220,7810,21434,
          Menos de 75 euros,133,0,1,1,5,12,30,29,19,20,16,133,330,
"          75  - 99,99 euros",102,0,1,3,5,7,19,22,23,11,11,102,270,
"          100 - 149,99 euros",274,2,2,6,12,34,49,56,58,35,20,274,692,
          150 - 199.99 euros,357,2,7,12,16,52,66,73,64,37,28,359,823,
"          200 - 249,99 euros",505,2,5,12,31,74,114,102,85,52,28,506,1211,
"          250 - 299,99 euros",645,3,3,12,31,110,125,131,119,70,41,645,1594,
"          300 - 349,99 euros",704,1,4,11,29,86,144,144,146,85,54,705,1808,
"          350 - 399,99 euros",785,0,0,16,25,81,171,174,153,97,68,787,2068,
"          400 - 499,99 euros",1380,3,3,14,32,119,268,285,302,199,155,1383,3685,
"          500 - 649,99 euros",1219,2,1,8,9,74,164,216,277,230,238,1221,3571,
"          650 - 799,99 euros",749,0,3,9,8,28,65,105,164,181,186,751,2288,
          800 euros ou mais,940,0,0,1,5,14,39,82,164,260,375,944,3094,
        Profissionais técnicos intermédios independentes,12843,25,67,158,273,957,2075,2398,2620,2156,2114,12897,37745,
          Sem encargos,4859,13,32,73,118,382,729,867,974,839,832,4892,13565,
          Com encargos,7984,12,35,85,155,575,1346,1531,1646,1317,1282,8005,24180,
          Menos de 75 euros,138,0,1,3,3,17,33,29,31,14,7,138,385,
"          75  - 99,99 euros",121,2,0,5,3,12,29,23,20,12,15,121,332,
"          100 - 149,99 euros",262,1,3,3,10,28,52,56,54,31,24,262,724,
          150 - 199.99 euros,419,0,1,10,16,49,96,83,74,51,39,419,1182,
"          200 - 249,99 euros",555,1,9,9,21,70,125,123,82,57,58,557,1569,
"          250 - 299,99 euros",782,1,5,12,29,81,184,181,138,87,64,784,2217,
"          300 - 349,99 euros",782,5,5,10,13,73,153,184,171,88,80,782,2306,
"          350 - 399,99 euros",839,1,1,7,13,63,168,179,163,149,95,841,2535,
