"6.47 - POPULAÇÃO RESIDENTE, DESEMPREGADAEM SENTIDO RESTRITO E À PROCURA DE NOVO EMPREGO, SEGUNDO A SITUAÇÃO NA ÚLTIMA PROFISSÃO E SEXO, POR RAMOS DE ACTIVIDADE ECONÓMICA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,,Patrão/Empregador,,Trabalhador por conta própria ou isolado,,Trabalhador familiar não remunerado,,Trabalhador por conta de outrém,,Membro activo de cooperativa de produção,,Outra situação,
Ramos de actividade económica,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
"      Actividades auxiliares de serviços financeiros, excepto seguros e fundos de pensões",53,25,1,0,2,1,0,0,49,23,0,0,1,1
      Actividades auxiliares de seguros e de fundos de pensões,419,174,35,26,82,33,0,0,293,112,0,0,9,3
      Actividades de gestão de fundos,16,11,0,0,0,0,0,0,14,9,0,0,2,2
      Compra e venda de bens imobiliários,583,270,86,37,43,24,1,0,423,196,1,1,29,12
      Arrendamento de bens imobiliários,48,14,7,3,6,2,0,0,32,8,0,0,3,1
      Actividades imobiliárias por conta de outrem,2935,1079,385,192,287,136,8,2,2107,685,0,0,148,64
      Actividades jurídicas e dos cartórios notariais,1554,329,104,30,307,95,2,0,1042,173,0,0,99,31
      Actividades de contabilidade e auditoria;  consultoria fiscal,5202,1577,324,135,633,284,4,0,3977,1086,0,0,264,72
      Actividades das sedes sociais,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      Actividades de consultoria para os negócios e a gestão,304,120,22,12,31,11,0,0,236,91,0,0,15,6
"      Actividades de arquitectura, de engenharia e técnicas afins",3710,2080,366,210,593,359,4,1,2444,1345,0,0,303,165
      Actividades de ensaios e análises técnicas,357,175,22,10,16,11,1,0,305,148,0,0,13,6
      Investigação e desenvolvimento das ciências físicas e naturais,386,157,19,8,36,15,0,0,230,105,0,0,101,29
      Investigação e desenvolvimento das ciências sociais e humanas,12,3,1,0,2,1,0,0,7,2,0,0,2,0
      Publicidade,2529,1363,227,142,225,132,7,1,1917,998,0,0,153,90
      Estudos de mercado e sondagens de opinião,934,334,61,30,52,23,0,0,766,258,1,1,54,22
      Actividades de design,972,530,95,58,275,150,0,0,520,281,0,0,82,41
      Actividades fotográficas,757,414,75,50,183,132,1,0,467,215,0,0,31,17
      Actividades de tradução e interpretação,231,71,23,9,102,32,0,0,92,25,0,0,14,5
"      Outras actividades de consultoria, científicas, técnicas e similares, n.e.",214,90,18,7,22,11,1,0,153,67,0,0,20,5
      Actividades veterinárias,269,57,28,7,18,4,0,0,205,44,0,0,18,2
      Aluguer de veículos automóveis,385,213,11,9,25,13,1,0,335,184,1,1,12,6
      Aluguer de bens de uso pessoal e doméstico,166,73,9,6,23,14,1,0,129,50,0,0,4,3
      Aluguer de outras máquinas e equipamentos,219,149,15,14,13,11,2,0,178,118,0,0,11,6
"      Locação de propriedade intelectual e produtos similares, excepto direitos de autor",1,0,0,0,0,0,0,0,1,0,0,0,0,0
      Actividades das empresas de selecção e colocação de pessoal,718,285,17,6,26,7,0,0,636,260,0,0,39,12
      Actividades das empresas de trabalho temporário,96,68,2,0,4,2,0,0,85,62,0,0,5,4
      Outro fornecimento de recursos humanos,1288,751,22,10,18,13,7,3,1206,706,0,0,35,19
      Agências de viagem e operadores turísticos,2132,805,113,44,158,63,8,0,1756,658,2,1,95,39
      Outros serviços de reservas e actividades relacionadas,8,4,0,0,1,1,0,0,7,3,0,0,0,0
      Actividades de  segurança privada,4134,3539,112,102,72,55,7,7,3839,3289,1,1,103,85
      Actividades  relacionadas com sistemas de segurança,47,34,3,2,0,0,0,0,43,31,0,0,1,1
